"","cmplnt_fr_dt","ofns_desc","prem_typ_desc","year","latitude","longitude","month","day","fips","city"
"1",2010-11-04,"theft(including auto)","school/college",2010,35.96062746,-79.02856645,11,4,37135011201,"chapel hill"
"2",2014-01-25,"theft(including auto)","pharmacy",2014,35.93537443,-79.02639606,1,25,37135012100,"chapel hill"
"3",2016-04-22,"theft(including auto)","pharmacy",2016,35.91316473,-79.05525024,4,22,37135011600,"chapel hill"
"4",2013-05-09,"theft(including auto)","other retail establishment",2013,35.92785452,-79.0297071,5,9,37135012100,"chapel hill"
"5",2016-09-20,"theft(including auto)","home of victim - single family",2016,35.91131401,-79.01628837,9,20,37135012100,"chapel hill"
"6",2016-01-18,"theft(including auto)","other residence - other dwelling",2016,35.91417968,-79.05963812,1,18,37135011300,"chapel hill"
"7",2016-07-09,"theft(including auto)","home of victim - other dwelling",2016,35.93065019,-79.03139548,7,9,37135012100,"chapel hill"
"8",2016-05-04,"burglary","home of victim - single family",2016,35.91244987,-79.06327181,5,4,37135011300,"chapel hill"
"9",2013-06-29,"theft(including auto)","convenience store",2013,35.9142076,-79.05395116,6,29,37135011400,"chapel hill"
"10",2015-12-16,"burglary","home of victim - other dwelling",2015,35.91784839,-79.05967478,12,16,37135011300,"chapel hill"
"11",2013-07-14,"theft(including auto)","home of victim - single family",2013,35.95564262,-79.05647245,7,14,37135011900,"chapel hill"
"12",2016-03-18,"theft(including auto)","other residence - other dwelling",2016,35.92628593,-79.03178581,3,18,37135011500,"chapel hill"
"13",2014-07-23,"burglary","parking lot/area",2014,35.92021274,-79.05118246,7,23,37135011400,"chapel hill"
"14",2013-04-13,"burglary","home of victim - single family",2013,35.91708285,-79.05100703,4,13,37135011400,"chapel hill"
"15",2016-07-17,"theft(including auto)","highway/road/street  etc.",2016,35.91209305,-79.05949332,7,17,37135011700,"chapel hill"
"16",2017-01-27,"theft(including auto)","home of victim - single family",2017,35.93821389,-79.03467851,1,27,37135011900,"chapel hill"
"17",2015-10-12,"theft(including auto)","parking lot/area",2015,35.9507176,-79.06216213,10,12,37135011800,"chapel hill"
"18",2013-04-01,"burglary","restaurant",2013,35.91471172,-79.0527296,4,1,37135011400,"chapel hill"
"19",2015-11-01,"burglary","hotel/motel",2015,35.94125513,-79.01736105,11,1,37135012100,"chapel hill"
"20",2012-06-01,"burglary","home of victim - single family",2012,35.89295441,-79.04017754,6,1,37135012200,"chapel hill"
"21",2014-08-03,"burglary","home of victim - single family",2014,35.91414544,-79.06211182,8,3,37135011300,"chapel hill"
"22",2012-06-01,"theft(including auto)","pharmacy",2012,35.96218656,-79.05479277,6,1,37135011900,"chapel hill"
"23",2010-07-03,"theft(including auto)","commercial/office building",2010,35.93298256,-79.02855193,7,3,37135012100,"chapel hill"
"24",2010-11-03,"theft(including auto)","parking lot/area",2010,35.94999313,-79.0013504,11,3,37063002017,"durham"
"25",2014-10-29,"burglary","parking lot/area",2014,35.9347118,-79.03773992,10,29,37135011900,"chapel hill"
"26",2012-06-05,"burglary","enclosed parking/deck",2012,35.91031757,-79.06526211,6,5,37135011700,"chapel hill"
"27",2016-06-20,"theft(including auto)","pharmacy",2016,35.92945427,-79.03376903,6,20,37135012100,"chapel hill"
"28",2015-11-19,"burglary","home of victim - other dwelling",2015,35.91803312,-79.05302144,11,19,37135011400,"chapel hill"
"29",2015-11-30,"theft(including auto)","school/college",2015,35.96062746,-79.02856645,11,30,37135011201,"chapel hill"
"30",2017-02-20,"theft(including auto)","home of victim - other dwelling",2017,35.91669078,-79.06594298,2,20,37135011300,"chapel hill"
"31",2016-08-10,"theft(including auto)","restaurant",2016,35.88069259,-79.06629919,8,10,37135012200,"chapel hill"
"32",2015-10-30,"robbery","highway/road/street  etc.",2015,35.9185257,-79.05908966,10,30,37135011300,"chapel hill"
"33",2016-05-12,"burglary","home of victim - other dwelling",2016,35.90955098,-79.02526445,5,12,37135012100,"chapel hill"
"34",2016-08-07,"burglary","home of victim - single family",2016,35.90977773,-79.02019272,8,7,37135012100,NA
"35",2016-04-25,"theft(including auto)","hotel/motel",2016,35.93468491,-79.02261023,4,25,37135012100,"chapel hill"
"36",2017-01-15,"theft(including auto)","parking lot/area",2017,35.9495701,-79.00946526,1,15,37135011201,"chapel hill"
"37",2016-03-11,"burglary","home of victim - other dwelling",2016,35.93740793,-79.05434703,3,11,37135011900,"chapel hill"
"38",2010-12-20,"burglary","parking lot/area",2010,35.94794913,-79.01756375,12,20,37135011201,"chapel hill"
"39",2010-05-17,"burglary","home of victim - other dwelling",2010,35.92405981,-79.03263324,5,17,37135011500,"chapel hill"
"40",2012-01-11,"theft(including auto)","bar/nightclub/lounge",2012,35.91519928,-79.0533371,1,11,37135011400,"chapel hill"
"41",2016-05-15,"theft(including auto)","home of victim - single family",2016,35.94477838,-79.05608951,5,15,37135011900,"chapel hill"
"42",2013-02-24,"burglary","home of victim - single family",2013,35.90832596,-79.01673451,2,24,37135012100,"chapel hill"
"43",2016-02-22,"theft(including auto)","home of victim - single family",2016,35.8907455,-79.07597969,2,22,37135012200,"chapel hill"
"44",2012-04-02,"burglary","home of victim - single family",2012,35.91916291,-79.06423146,4,2,37135011300,"chapel hill"
"45",2016-04-17,"theft(including auto)","home of victim - other dwelling",2016,35.90231514,-79.00201552,4,17,37063002012,"chapel hill"
"46",2010-08-12,"burglary","home of victim - single family",2010,35.89723036,-79.0602214,8,12,37135011700,"chapel hill"
"47",2012-01-16,"burglary","parking lot/area",2012,35.91792702,-79.02949361,1,16,37135011500,"chapel hill"
"48",2010-02-13,"burglary","home of victim - other dwelling",2010,35.92024612,-79.06116486,2,13,37135011300,"chapel hill"
"49",2016-10-24,"theft(including auto)","church/synagogue/temple",2016,35.93470319,-79.05478269,10,24,37135011400,"chapel hill"
"50",2013-03-27,"theft(including auto)","grocery/supermarket",2013,35.96218656,-79.05479277,3,27,37135011900,"chapel hill"
"51",2013-11-11,"theft(including auto)","government/public building",2013,35.93219297,-79.03572266,11,11,37135011900,"chapel hill"
"52",2014-08-01,"burglary","home of victim - single family",2014,35.90416043,-79.06610632,8,1,37135010702,"chapel hill"
"53",2010-07-28,"burglary","home of victim - single family",2010,35.90471391,-79.06770665,7,28,37135010702,"chapel hill"
"54",2014-10-21,"burglary","parking lot/area",2014,35.92558576,-79.0512077,10,21,37135011400,"chapel hill"
"55",2010-04-15,"theft(including auto)","home of victim - single family",2010,35.91556042,-79.05055319,4,15,37135011400,"chapel hill"
"56",2015-12-16,"theft(including auto)","parking lot/area",2015,35.91631911,-79.05883185,12,16,37135011300,"chapel hill"
"57",2015-07-28,"burglary","home of victim - other dwelling",2015,35.92524681,-79.03208151,7,28,37135011500,"chapel hill"
"58",2016-06-06,"theft(including auto)","highway/road/street  etc.",2016,35.91840744,-79.06302643,6,6,37135011300,"chapel hill"
"59",2015-12-03,"theft(including auto)","other retail establishment",2015,35.92785452,-79.0297071,12,3,37135012100,"chapel hill"
"60",2015-10-30,"burglary","parking lot/area",2015,35.9081608,-79.00986756,10,30,37135012100,"chapel hill"
"61",2014-03-06,"theft(including auto)","pharmacy",2014,35.91425874,-79.05482185,3,6,37135011400,"chapel hill"
"62",2014-01-30,"theft(including auto)","unknown",2014,35.95065207,-79.0731141,1,30,37135010702,"chapel hill"
"63",2010-03-20,"burglary","home of victim - other dwelling",2010,35.90952346,-79.05846558,3,20,37135011700,"chapel hill"
"64",2011-11-13,"burglary","home of victim - other dwelling",2011,35.92395514,-79.05266072,11,13,37135011400,"chapel hill"
"65",2011-11-13,"theft(including auto)","other residence - other dwelling",2011,35.94166725,-79.05299212,11,13,37135011900,"chapel hill"
"66",2014-09-28,"theft(including auto)","parking lot/area",2014,35.91212848,-79.06297741,9,28,37135011300,"chapel hill"
"67",2016-10-22,"burglary","parking lot/area",2016,35.94671816,-79.01664828,10,22,37135011201,"chapel hill"
"68",2016-10-22,"burglary","highway/road/street  etc.",2016,35.94671816,-79.01664828,10,22,37135011201,"chapel hill"
"69",2016-10-29,"theft(including auto)","other residence - other dwelling",2016,35.91154402,-79.05560863,10,29,37135011700,"chapel hill"
"70",2012-10-23,"burglary","home of victim - single family",2012,35.94314768,-79.05144903,10,23,37135011900,"chapel hill"
"71",2015-11-28,"theft(including auto)","other retail establishment",2015,35.93537443,-79.02639606,11,28,37135012100,"chapel hill"
"72",2012-03-24,"theft(including auto)","grocery/supermarket",2012,35.92785452,-79.0297071,3,24,37135012100,"chapel hill"
"73",2016-05-22,"burglary","parking lot/area",2016,35.91735222,-79.05768885,5,22,37135011300,"chapel hill"
"74",2012-07-08,"burglary","parking lot/area",2012,35.93490408,-79.0214102,7,8,37135012100,"chapel hill"
"75",2012-01-08,"burglary","home of victim - other dwelling",2012,35.91422465,-79.06029996,1,8,37135011300,"chapel hill"
"76",2012-09-30,"theft(including auto)","other retail establishment",2012,35.96218656,-79.05479277,9,30,37135011900,"chapel hill"
"77",2012-09-29,"burglary","parking lot/area",2012,35.9397071,-79.02026908,9,29,37135012100,"chapel hill"
"78",2012-03-12,"burglary","enclosed parking/deck",2012,35.9076021,-79.00748559,3,12,37063002018,"chapel hill"
